	larva(0)
mom_y(29)	1075
mom_y(30)	1075
mom_y(31)	1076
mom_y(32)	1076
mom_y(33)	1076
mom_y(34)	1079
mom_y(35)	1084
mom_y(36)	1088
mom_y(37)	1088
mom_y(38)	1087
mom_y(39)	1085
mom_y(40)	1082
mom_y(41)	1078
mom_y(42)	1079
mom_y(43)	1080
mom_y(44)	1079
mom_y(45)	1078
mom_y(46)	1078
mom_y(47)	1080
mom_y(48)	1079
mom_y(49)	1082
mom_y(50)	1085
mom_y(51)	1086
mom_y(52)	1086
mom_y(53)	1086
mom_y(54)	1087
mom_y(55)	1087
mom_y(56)	1085
mom_y(57)	1087
mom_y(58)	1089
mom_y(59)	1090
mom_y(60)	1092
mom_y(61)	1094
mom_y(62)	1096
mom_y(63)	1098
mom_y(64)	1094
mom_y(65)	1089
mom_y(66)	1090
mom_y(67)	1091
mom_y(68)	1091
mom_y(69)	1091
mom_y(70)	1094
mom_y(71)	1100
mom_y(72)	1102
mom_y(73)	1104
mom_y(74)	1104
mom_y(75)	1104
mom_y(76)	1104
mom_y(77)	1103
mom_y(78)	1104
mom_y(79)	1104
mom_y(80)	1097
mom_y(81)	1092
mom_y(82)	1089
mom_y(83)	1083
mom_y(84)	1078
mom_y(85)	1078
mom_y(86)	1078
mom_y(87)	1079
mom_y(88)	1077
mom_y(89)	1077
mom_y(90)	1079
mom_y(91)	1080
mom_y(92)	1082
mom_y(93)	1085
mom_y(94)	1087
mom_y(95)	1094
mom_y(96)	1097
mom_y(97)	1097
mom_y(98)	1097
mom_y(99)	1097
mom_y(100)	1096
mom_y(101)	1096
mom_y(102)	1095
mom_y(103)	1097
mom_y(104)	1096
mom_y(105)	1096
mom_y(106)	1096
mom_y(107)	1096
mom_y(108)	1096
mom_y(109)	1097
mom_y(110)	1103
mom_y(111)	1102
mom_y(112)	1102
mom_y(113)	1103
mom_y(114)	1103
mom_y(115)	1103
mom_y(116)	1100
mom_y(117)	1095
mom_y(118)	1092
mom_y(119)	1091
mom_y(120)	1091
mom_y(121)	1091
mom_y(122)	1091
mom_y(123)	1091
mom_y(124)	1091
mom_y(125)	1091
mom_y(126)	1091
mom_y(127)	1090
mom_y(128)	1090
mom_y(129)	1090
mom_y(130)	1090
mom_y(131)	1090
mom_y(132)	1089
mom_y(133)	1089
mom_y(134)	1088
mom_y(135)	1089
mom_y(136)	1091
mom_y(137)	1093
mom_y(138)	1094
mom_y(139)	1095
mom_y(140)	1094
mom_y(141)	1094
mom_y(142)	1093
mom_y(143)	1092
mom_y(144)	1092
mom_y(145)	1092
mom_y(146)	1092
mom_y(147)	1091
mom_y(148)	1091
mom_y(149)	1085
mom_y(150)	1084
mom_y(151)	1083
mom_y(152)	1084
mom_y(153)	1084
mom_y(154)	1084
mom_y(155)	1084
mom_y(156)	1083
mom_y(157)	1083
mom_y(158)	1083
mom_y(159)	1083
mom_y(160)	1083
mom_y(161)	1083
mom_y(162)	1083
mom_y(163)	1082
mom_y(164)	1082
mom_y(165)	1082
mom_y(166)	1081
mom_y(167)	1081
mom_y(168)	1081
mom_y(169)	1081
mom_y(170)	1079
mom_y(171)	1079
mom_y(172)	1079
mom_y(173)	1079
mom_y(174)	1078
mom_y(175)	1078
mom_y(176)	1078
mom_y(177)	1078
mom_y(178)	1077
mom_y(179)	1077
mom_y(180)	1077
mom_y(181)	1075
mom_y(182)	1075
mom_y(183)	1074
mom_y(184)	1073
mom_y(185)	1071
mom_y(186)	1071
mom_y(187)	1071
mom_y(188)	1069
mom_y(189)	1069
mom_y(190)	1068
mom_y(191)	1068
mom_y(192)	1066
mom_y(193)	1066
mom_y(194)	1066
mom_y(195)	1065
mom_y(196)	1064
mom_y(197)	1064
mom_y(198)	1063
mom_y(199)	1060
mom_y(200)	1060
mom_y(201)	1060
mom_y(202)	1056
mom_y(203)	1057
mom_y(204)	1056
mom_y(205)	1055
mom_y(206)	1056
mom_y(207)	1055
mom_y(208)	1055
mom_y(209)	1053
mom_y(210)	1052
mom_y(211)	1052
mom_y(212)	1052
mom_y(213)	1052
mom_y(214)	1052
mom_y(215)	1051
mom_y(216)	1051
mom_y(217)	1050
mom_y(218)	1050
mom_y(219)	1048
mom_y(220)	1048
mom_y(221)	1047
mom_y(222)	1046
mom_y(223)	1046
mom_y(224)	1046
mom_y(225)	1046
mom_y(226)	1045
mom_y(227)	1045
mom_y(228)	1045
mom_y(229)	1045
mom_y(230)	1044
mom_y(231)	1044
mom_y(232)	1044
mom_y(233)	1044
mom_y(234)	1044
mom_y(235)	1043
mom_y(236)	1041
mom_y(237)	1040
mom_y(238)	1040
mom_y(239)	1039
mom_y(240)	1037
mom_y(241)	1037
mom_y(242)	1037
mom_y(243)	1036
mom_y(244)	1035
mom_y(245)	1035
mom_y(246)	1034
mom_y(247)	1034
mom_y(248)	1033
mom_y(249)	1033
mom_y(250)	1032
mom_y(251)	1032
mom_y(252)	1032
mom_y(253)	1032
mom_y(254)	1033
mom_y(255)	1033
mom_y(256)	1033
mom_y(257)	1033
mom_y(258)	1033
mom_y(259)	1033
mom_y(260)	1033
mom_y(261)	1033
mom_y(262)	1034
mom_y(263)	1034
mom_y(264)	1034
mom_y(265)	1034
mom_y(266)	1035
mom_y(267)	1034
mom_y(268)	1035
mom_y(269)	1035
mom_y(270)	1035
mom_y(271)	1035
mom_y(272)	1035
mom_y(273)	1035
mom_y(274)	1035
mom_y(275)	1035
mom_y(276)	1035
mom_y(277)	1035
mom_y(278)	1034
mom_y(279)	1034
mom_y(280)	1035
mom_y(281)	1034
mom_y(282)	1034
mom_y(283)	1034
mom_y(284)	1034
mom_y(285)	1034
mom_y(286)	1034
mom_y(287)	1034
mom_y(288)	1034
mom_y(289)	1034
mom_y(290)	1034
mom_y(291)	1034
mom_y(292)	1033
mom_y(293)	1033
mom_y(294)	1033
mom_y(295)	1033
mom_y(296)	1033
mom_y(297)	1033
mom_y(298)	1033
mom_y(299)	1033
mom_y(300)	1033
mom_y(301)	1033
mom_y(302)	1033
mom_y(303)	1033
mom_y(304)	1033
mom_y(305)	1033
mom_y(306)	1033
mom_y(307)	1034
mom_y(308)	1033
mom_y(309)	1033
mom_y(310)	1033
mom_y(311)	1033
mom_y(312)	1033
mom_y(313)	1032
mom_y(314)	1033
mom_y(315)	1033
mom_y(316)	1033
mom_y(317)	1032
mom_y(318)	1032
mom_y(319)	1032
mom_y(320)	1032
mom_y(321)	1032
mom_y(322)	1032
mom_y(323)	1031
mom_y(324)	1031
mom_y(325)	1031
mom_y(326)	1031
mom_y(327)	1031
mom_y(328)	1031
mom_y(329)	1031
mom_y(330)	1031
mom_y(331)	1031
mom_y(332)	1031
mom_y(333)	1032
mom_y(334)	1032
mom_y(335)	1032
mom_y(336)	1032
mom_y(337)	1031
mom_y(338)	1031
mom_y(339)	1031
mom_y(340)	1031
mom_y(341)	1031
mom_y(342)	1031
mom_y(343)	1030
mom_y(344)	1030
mom_y(345)	1030
mom_y(346)	1032
mom_y(347)	1032
mom_y(348)	1032
mom_y(349)	1032
mom_y(350)	1032
mom_y(351)	1032
mom_y(352)	1032
mom_y(353)	1032
mom_y(354)	1032
mom_y(355)	1032
mom_y(356)	1032
mom_y(357)	1032
mom_y(358)	1032
mom_y(359)	1033
mom_y(360)	1033
mom_y(361)	1033
mom_y(362)	1033
mom_y(363)	1033
mom_y(364)	1033
mom_y(365)	1032
mom_y(366)	1032
mom_y(367)	1033
mom_y(368)	1032
mom_y(369)	1032
mom_y(370)	1032
mom_y(371)	1032
