Method name: INIMS_ExiCyToxAssay_RTG_Lars_Binkle_790_464_																																																	
Application: SparkControl				1.1																																													
Device: SPARK 10M				Serial number: 1511007580																																													
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																													
 																																																	
Date: 				2017-06-22																																													
Time: 				10:32																																													
System 				PC-2WPML82																																													
User 				NT-AUTORITÄT\NETZWERKDIENST																																													
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																													
Lid lifter 				Removable lid 																																													
Humidity Cassette 				No humidity cassette 																																													
																																																	
List of actions in this measurement script:																																																	
Plate																																																	
	Temperature																																																
	Gas 																																																
	User intervention																																																
	Kinetic																																																
		Luminescence				RTG																																											
		Condition																																															
			User intervention																																														
																																																	
Plate layout																																																	
Name				GRE96fw_chimney																																													
																																																	
E5	958	13108	21615	26155	28262	29741	30708	31635	32274	33096	33742	33460	34758	35027	35827	35894	36335	36389	37005	37132	37521	37669	37991	37638	37791	37710	37489	38219	37813	38099	37444	39108	38127	38538	38580	39074	39311	38847	38709	39377	38815	39115	39246	39581	40027	39560	39843	39759	40073
E6	908	10377	18429	23057	25529	26337	27906	28641	29331	29896	31159	30863	29903	29679	29056	29177	28262	27173	27575	27048	27189	27356	26831	27414	27358	28080	28071	28407	27839	28582	28222	28810	28707	28979	28733	28927	28905	29242	28963	29354	29244	29341	29973	28897	30048	29945	30319	30050	30379
E7	727	11142	20132	25203	26186	27974	29099	30375	30983	32275	33560	33281	34190	33534	33511	32568	31747	31504	30743	30887	30945	31020	31266	31165	31588	31797	32470	32132	32281	32569	32637	33043	32857	33723	33296	32947	33228	33390	34015	33496	34014	33567	34060	33792	34419	34479	34589	34473	34677
E8	831	8803	15500	19460	21755	23456	24680	26102	26850	27495	28541	28876	29681	30129	30498	31183	31254	31919	32417	32856	32815	32780	33170	33496	33082	33883	33402	34459	33898	34665	33432	34559	35254	35023	34088	35630	35896	35235	34694	35327	36029	36019	36355	35826	35293	35387	35460	35778	35880
E9	767	8942	15964	20687	22985	24343	26485	27535	28054	29198	29996	30172	30721	30834	32245	32313	33089	32977	33392	33934	34259	34491	34709	34629	34455	35786	35454	34713	36320	35192	36763	35331	36577	36744	35405	36564	37225	36298	35866	37170	36962	37635	37615	36753	37115	37855	37853	38753	38705
E10	843	8352	15056	16852	12582	11018	11037	11711	12526	13333	13614	16195	15655	15433	15178	14712	14563	14348	14209	14269	14285	13797	13772	13964	13899	13585	13545	13684	13451	13294	13239	13401	13061	13083	13016	12677	12881	12547	12353	11963	11805	11650	11357	10898	10775	10117	9719	9276	9067
E11	669	7793	13921	16900	19520	20413	20150	19560	18535	17732	17011	17845	16862	16291	15666	15519	15156	14647	14184	13871	13719	13692	14014	13754	13877	13923	14169	14166	14362	14361	14348	14344	14584	14543	14353	14546	14405	14380	14371	14435	14198	14616	14136	14138	14064	13878	13899	14231	14210
E12																																																	
F1																																																	
F2	783	8700	14635	17848	19994	21343	22762	23590	23987	24856	25368	28051	28752	28235	28185	28315	27830	28149	28493	28703	28845	29536	29223	29923	29712	29776	29821	30436	30071	29995	30250	29876	30765	30589	30230	30514	30355	30200	30649	30768	30763	30589	30940	30866	30866	31168	31318	30782	31338
