Method name: masterkurs2018_n2a_undifferentiated																																														
Application: SparkControl				1.1																																										
Device: SPARK 10M				Serial number: 1511007580																																										
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																										
 																																														
Date: 				2018-01-10																																										
Time: 				11:00																																										
System 				PC-2WPML82																																										
User 				NT-AUTORITÄT\NETZWERKDIENST																																										
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																										
Lid lifter 				Removable lid 																																										
Humidity Cassette 				No humidity cassette 																																										
																																														
List of actions in this measurement script:																																														
Plate																																														
	Temperature																																													
	Gas 																																													
	User intervention																																													
	Kinetic																																													
		Luminescence				RTG																																								
		Condition																																												
			User intervention																																											
																																														
Plate layout																																														
Name				GRE96fw_chimney																																										
																																														
F2	15110	108346	135901	149031	165189	173297	180778	169875	181300	189265	193069	197778	199666	201834	204430	206191	207844	209812	211900	214012	214815	216185	218570	221522	223128	225194	227251	230751	232107	236308	239926	241889	245310	247663	251422	255524	259690	262492	266620	269619	271679	274708	278363	282099	285013	287784
F3	9028	69887	93518	101528	112841	120168	126126	118664	127993	132538	136405	139495	141337	144137	145275	147259	147947	149631	152530	154963	154869	156554	158954	161193	161771	164560	167759	169627	171766	174897	176464	178095	179911	182994	186448	189783	192694	193759	197918	201150	203162	205903	208316	210930	213806	217137
F4	9741	84585	109546	131457	145631	155265	162954	151330	168911	174061	179029	183361	186576	187763	190790	192327	194007	195912	198531	199377	201800	203480	206347	207035	209821	212438	214303	216971	219901	222158	224415	226381	229433	233260	236040	240529	244073	247884	251594	253852	256823	259941	264759	266601	268787	272966
F5	10004	87451	117623	129971	143594	151886	159540	149037	162795	168662	172910	176665	179103	181671	183173	185826	188426	189067	191422	191857	194413	196063	198815	201104	203176	207229	207958	211927	214927	217106	221281	222332	226403	229281	233197	236863	240510	244047	248010	251430	254648	258436	263621	266244	269807	272809
F6	13853	122449	163729	191425	211639	224097	232520	217615	235595	244638	249880	254539	258338	259465	263833	266165	267954	270726	272131	274184	275119	276658	278294	281967	282965	286417	288486	290232	292930	295283	298167	300847	302775	306186	309951	314042	317556	321868	327459	327610	330099	335344	338681	343290	345421	350134
F7	11519	83692	118838	144854	165353	177302	186089	169825	184593	193385	198615	201012	204521	210607	214078	216502	217068	218441	220644	220709	222893	223992	225549	228034	229999	231447	233315	235793	237328	241065	241848	244951	246100	251035	253513	258513	261316	264153	266359	268952	271096	274492	278201	280813	283014	286946
F8	12629	90365	132223	158356	177714	190724	199586	185869	201633	209823	213856	217731	220184	222998	226928	228071	230891	231662	232288	233612	235605	238474	239083	240818	242400	244818	247871	248135	251460	254134	255902	257744	260898	263227	266945	270271	272350	277491	279951	281858	283625	287762	290305	292473	297674	301233
F9	10589	87256	129936	153790	175040	191550	200348	187363	201261	208608	213750	216737	219787	222711	223711	225882	228599	228938	230557	231011	232903	234174	235596	237582	238652	240829	242417	244790	247398	248377	250670	253223	255010	257802	262691	265689	268298	271712	273965	276185	279672	282584	287467	289072	293193	295255
F10	13705	116145	159793	179547	199535	212016	220526	217223	228622	234930	241075	244704	249083	250442	253259	256949	258951	260919	261948	264545	265675	267802	267923	270744	273162	274133	276440	278628	280749	283767	285692	287757	289950	292679	297028	299445	303445	306297	311035	313946	316200	320979	323851	326096	329890	331907
F11	10800	85299	111488	128745	144010	154481	161644	157808	170814	176412	181006	183993	187543	189438	192347	193847	196253	197522	200556	200844	202797	205122	205257	207777	208410	211617	213789	215673	217280	220605	223177	224888	227379	229017	233012	236604	238072	243040	246043	247970	250412	255063	258265	262174	264635	267560
